iter	Passed	Remaining
0	221	221575
1	270	134825
2	322	107137
3	372	92659
4	424	84382
5	475	78721
6	528	74924
7	580	72032
8	631	69556
9	679	67300
10	730	65686
11	776	63946
12	828	62913
13	879	61931
14	928	60988
15	978	60163
16	1026	59368
17	1076	58725
18	1121	57928
19	1167	57204
20	1217	56747
21	1265	56271
22	1317	55977
23	1371	55792
24	1418	55330
25	1469	55055
26	1521	54831
27	1572	54574
28	1620	54259
29	1678	54272
30	1727	54005
31	1775	53716
32	1824	53467
33	1872	53197
34	1927	53132
35	1976	52931
36	2029	52809
37	2074	52523
38	2117	52182
39	2171	52105
40	2211	51722
41	2234	50968
42	2278	50714
43	2327	50559
44	2378	50470
45	2425	50303
46	2474	50168
47	2526	50100
48	2572	49921
49	2623	49846
50	2649	49303
51	2699	49220
52	2743	49017
53	2804	49128
54	2854	49048
55	2900	48887
56	2933	48533
57	2976	48343
58	3022	48198
59	3065	48023
60	3108	47855
61	3162	47838
62	3214	47814
63	3265	47764
64	3322	47787
65	3367	47655
66	3389	47198
67	3435	47091
68	3499	47213
69	3549	47151
70	3607	47197
71	3674	47355
72	3731	47383
73	3779	47292
74	3853	47528
75	3904	47473
76	3959	47459
77	4064	48045
78	4132	48180
79	4220	48538
80	4279	48554
81	4331	48494
82	4379	48384
83	4429	48302
84	4489	48326
85	4535	48204
86	4614	48426
87	4681	48514
88	4800	49133
89	4857	49119
90	4914	49093
91	4964	48992
92	5010	48869
93	5057	48748
94	5109	48672
95	5157	48567
96	5202	48426
97	5261	48423
98	5314	48368
99	5365	48290
100	5421	48256
101	5465	48121
102	5516	48042
103	5569	47979
104	5620	47912
105	5673	47846
106	5722	47758
107	5773	47688
108	5829	47649
109	5878	47558
110	5926	47465
111	5976	47382
112	6028	47320
113	6085	47295
114	6133	47198
115	6181	47110
116	6229	47012
117	6290	47018
118	6354	47045
119	6401	46943
120	6449	46850
121	6498	46767
122	6546	46679
123	6659	47047
124	6810	47674
125	6940	48141
126	7060	48534
127	7145	48679
128	7223	48769
129	7308	48912
130	7395	49056
131	7468	49113
132	7549	49213
133	7623	49269
134	7708	49388
135	7809	49616
136	7880	49643
137	7956	49697
138	8027	49721
139	8094	49725
140	8155	49683
141	8212	49619
142	8269	49560
143	8333	49540
144	8395	49506
145	8465	49519
146	8533	49517
147	8597	49491
148	8658	49449
149	8722	49425
150	8787	49405
151	8852	49389
152	8909	49322
153	8973	49298
154	9038	49275
155	9097	49220
156	9163	49202
157	9225	49163
158	9289	49134
159	9350	49088
160	9413	49055
161	9497	49127
162	9560	49093
163	9621	49044
164	9688	49029
165	9748	48978
166	9807	48922
167	9868	48874
168	9928	48820
169	9989	48772
170	10051	48729
171	10111	48676
172	10174	48635
173	10233	48580
174	10292	48520
175	10354	48479
176	10418	48441
177	10476	48382
178	10543	48356
179	10603	48303
180	10660	48236
181	10728	48219
182	10790	48173
183	10849	48116
184	10907	48049
185	10965	47986
186	11026	47937
187	11085	47882
188	11152	47856
189	11231	47883
190	11293	47833
191	11377	47881
192	11434	47811
193	11494	47755
194	11559	47720
195	11621	47671
196	11682	47619
197	11742	47562
198	11804	47514
199	11869	47477
200	11931	47427
201	11992	47377
202	12059	47345
203	12115	47276
204	12178	47228
205	12238	47172
206	12299	47116
207	12365	47085
208	12425	47026
209	12479	46948
210	12542	46900
211	12606	46857
212	12667	46803
213	12728	46751
214	12790	46701
215	12860	46677
216	12917	46610
217	12980	46563
218	13057	46565
219	13126	46538
220	13188	46487
221	13248	46430
222	13322	46418
223	13383	46363
224	13453	46339
225	13534	46353
226	13599	46309
227	13665	46270
228	13725	46210
229	13787	46157
230	13850	46109
231	13911	46052
232	13978	46014
233	14048	45988
234	14115	45950
235	14179	45904
236	14245	45861
237	14312	45823
238	14377	45780
239	14439	45724
240	14521	45735
241	14583	45679
242	14652	45646
243	14705	45564
244	14769	45514
245	14817	45417
246	14862	45311
247	14905	45196
248	14954	45105
249	15022	45067
250	15078	44994
251	15134	44921
252	15192	44856
253	15248	44785
254	15294	44684
255	15340	44582
256	15380	44465
257	15430	44377
258	15478	44285
259	15530	44200
260	15575	44102
261	15623	44008
262	15675	43926
